,gem,comune,degurba,GEMI,GEMD,mean_fam_r_disp,median_fam_r_disp,count_fam_r_disp,year
187,071,Rasun-Anterselva/Rasen-Antholz,3,Rasun-Anterselva,Rasen-Antholz,42430.72329777778,34955.0,1125,2020
188,072,Renon/Ritten,3,Renon,Ritten,44903.6329873817,33560.0,3170,2020
189,073,Rifiano/Riffian,3,Rifiano,Riffian,36708.76159474671,29340.0,533,2020
190,074,Rio di Pusteria/Mühlbach,3,Rio di Pusteria,Mühlbach,41353.95055740433,32537.57,1202,2020
191,075,Rodengo/Rodeneck,3,Rodengo,Rodeneck,39219.7818852459,30403.0,488,2020
192,076,Salorno sulla strada del vino/Salurn an der Weinstraße,3,Salorno sulla strada del vino,Salurn an der Weinstraße,34219.738810483876,25031.205,1488,2020
193,077,San Candido/Innichen,3,San Candido,Innichen,45752.768609625666,34322.0,1309,2020
194,079,San Genesio Atesino/Jenesien,3,San Genesio Atesino,Jenesien,44793.6519537275,34405.22,1167,2020
195,080,San Leonardo in Passiria/St. Leonhard in Passeier,3,San Leonardo in Passiria,St. Leonhard in Passeier,35342.827396664245,28266.0,1379,2020
196,081,San Lorenzo di Sebato/St. Lorenzen,3,San Lorenzo di Sebato,St. Lorenzen,44294.53963133641,34909.0,1519,2020
197,082,San Martino in Badia/St. Martin in Thurn,3,San Martino in Badia,St. Martin in Thurn,41973.97477996965,32659.0,659,2020
198,083,San Martino in Passiria/St. Martin in Passeier,3,San Martino in Passiria,St. Martin in Passeier,33577.99363057325,27119.5,1256,2020
199,084,San Pancrazio/St. Pankraz,3,San Pancrazio,St. Pankraz,38176.136183986375,30211.0,587,2020
200,085,Santa Cristina Valgardena/St. Christina in Gröden,3,Santa Cristina Valgardena,St. Christina in Gröden,42357.691385390426,32175.77,794,2020
201,086,Sarentino/Sarntal,3,Sarentino,Sarntal,38503.57837962963,30652.0,2808,2020
202,087,Scena/Schenna,3,Scena,Schenna,37958.74112410072,29833.43,1112,2020
203,088,Selva dei Molini/Mühlwald,3,Selva dei Molini,Mühlwald,40033.59512428298,31688.68,523,2020
204,089,Selva di Val Gardena/Wolkenstein in Gröden,3,Selva di Val Gardena,Wolkenstein in Gröden,49094.06477596741,33094.5,982,2020
205,091,Senales/Schnals,3,Senales,Schnals,37286.340807453416,28426.0,483,2020
206,092,Sesto/Sexten,3,Sesto,Sexten,40960.186485788116,30089.84,774,2020
207,093,Silandro/Schlanders,2,Silandro,Schlanders,40346.15911306433,29686.97,2503,2020
208,094,Sluderno/Schluderns,3,Sluderno,Schluderns,31190.321145975442,25169.0,733,2020
209,095,Stelvio/Stilfs,3,Stelvio,Stilfs,34629.6132238193,25347.57,487,2020
210,096,Terento/Terenten,3,Terento,Terenten,44518.45250750751,35687.0,666,2020
211,097,Terlano/Terlan,3,Terlano,Terlan,45850.9680982906,34861.335,1872,2020
212,098,Termeno sulla strada del vino/Tramin an der Weinstraße,3,Termeno sulla strada del vino,Tramin an der Weinstraße,38054.45203558719,28083.0,1405,2020
213,099,Tesimo/Tisens,3,Tesimo,Tisens,36333.50293601004,27368.11,797,2020
214,100,Tires/Tiers,3,Tires,Tiers,42792.634359605916,33625.0,406,2020
215,101,Tirolo/Tirol,3,Tirolo,Tirol,40275.03569416499,28795.5,994,2020
216,102,Trodena nel parco naturale/Truden im Naturpark,3,Trodena nel parco naturale,Truden im Naturpark,38734.78431554524,30622.88,431,2020
217,103,Tubre/Taufers im Münstertal,3,Tubre,Taufers im Münstertal,25651.0959375,20165.045,352,2020
218,104,Ultimo/Ulten,3,Ultimo,Ulten,37083.78118766999,29925.0,1103,2020
219,105,Vadena/Pfatten,3,Vadena,Pfatten,37636.718888888885,31572.0,423,2020
220,106,Valdaora/Olang,3,Valdaora,Olang,45064.295875202595,36214.009999999995,1234,2020
221,107,Val di Vizze/Pfitsch,3,Val di Vizze,Pfitsch,41246.00659331703,32403.0,1227,2020
222,108,Valle Aurina/Ahrntal,3,Valle Aurina,Ahrntal,39835.76785682916,31760.48,2277,2020
223,109,Valle di Casies/Gsies,3,Valle di Casies,Gsies,41623.71433080808,35245.0,792,2020
224,110,Vandoies/Vintl,3,Vandoies,Vintl,41637.1060994561,33896.0,1287,2020
225,111,Varna/Vahrn,3,Varna,Vahrn,43851.84433785193,32906.0,1918,2020
226,112,Verano/Vöran,3,Verano,Vöran,40982.86044378698,34032.5,338,2020
227,113,Villabassa/Niederdorf,3,Villabassa,Niederdorf,38885.083387096776,31663.5,620,2020
228,114,Villandro/Villanders,3,Villandro,Villanders,40110.92203651685,33185.625,712,2020
229,115,Vipiteno/Sterzing,2,Vipiteno,Sterzing,38919.37295911528,29463.5,2984,2020
230,116,Velturno/Feldthurns,3,Velturno,Feldthurns,43889.76811233886,34169.645000000004,1086,2020
231,117,La Valle/Wengen,3,La Valle,Wengen,46109.4050533049,38444.0,469,2020
232,118,Senale-San Felice/Unsere Liebe Frau im Walde-St. Felix,3,Senale-San Felice,Unsere Liebe Frau im Walde-St. Felix,32972.66206779661,26058.0,295,2020
234,001,Aldino/Aldein,3,Aldino,Aldein,43503.41870759289,32527.43,619,2021
235,002,Andriano/Andrian,3,Andriano,Andrian,43698.59548463357,32680.0,423,2021
236,003,Anterivo/Altrei,3,Anterivo,Altrei,33124.04262569833,27138.0,179,2021
237,004,Appiano sulla strada del vino/Eppan an der Weinstraße,2,Appiano sulla strada del vino,Eppan an der Weinstraße,48562.65603009445,33580.0,6247,2021
238,005,Avelengo/Hafling,3,Avelengo,Hafling,47426.73588424437,34386.0,311,2021
239,006,Badia/Abtei,3,Badia,Abtei,45266.74040863531,32793.0,1297,2021
240,007,Barbiano/Barbian,3,Barbiano,Barbian,40396.44917151163,30828.425,688,2021
241,008,Bolzano/Bozen,1,Bolzano,Bozen,41498.30292539267,29758.5,47368,2021
242,009,Braies/Prags,3,Braies,Prags,48777.40829959514,39346.0,247,2021
243,010,Brennero/Brenner,3,Brennero,Brenner,36107.21007007007,28071.59,999,2021
244,011,Bressanone/Brixen,2,Bressanone,Brixen,46221.73828696301,32924.0,9381,2021
245,012,Bronzolo/Branzoll,2,Bronzolo,Branzoll,39845.75956859362,33258.0,1159,2021
246,013,Brunico/Bruneck,2,Brunico,Bruneck,46545.77763909571,32475.0,7387,2021
247,014,Caines/Kuens,2,Caines,Kuens,39288.772532467534,30091.525,154,2021
248,015,Caldaro sulla strada del vino/Kaltern an der Weinstraße,2,Caldaro sulla strada del vino,Kaltern an der Weinstraße,43653.11435431919,32724.14,3415,2021
249,016,Campo di Trens/Freienfeld,3,Campo di Trens,Freienfeld,41455.4950754717,33996.0,1060,2021
250,017,Campo Tures/Sand in Taufers,3,Campo Tures,Sand in Taufers,41620.85463281578,31666.0,2383,2021
251,018,Castelbello-Ciardes/Kastelbell-Tschars,3,Castelbello-Ciardes,Kastelbell-Tschars,38667.544508547006,27367.0,936,2021
252,019,Castelrotto/Kastelruth,3,Castelrotto,Kastelruth,42332.673957431456,30430.0,2772,2021
253,020,Cermes/Tscherms,2,Cermes,Tscherms,44208.04607874016,32940.0,635,2021
254,021,Chienes/Kiens,3,Chienes,Kiens,47632.339714285714,34884.0,1225,2021
255,022,Chiusa/Klausen,3,Chiusa,Klausen,43791.16293692826,33844.56,2077,2021
256,023,Cornedo all'Isarco/Karneid,3,Cornedo all'Isarco,Karneid,41834.47972161172,33046.93,1365,2021
257,024,Cortaccia sulla strada del vino/Kurtatsch an der Weinstraße,3,Cortaccia sulla strada del vino,Kurtatsch an der Weinstraße,40282.082812500004,29531.004999999997,896,2021
258,025,Cortina sulla strada del vino/Kurtinig an der Weinstraße,3,Cortina sulla strada del vino,Kurtinig an der Weinstraße,37294.853344709896,27383.64,293,2021
259,026,Corvara in Badia/Corvara,3,Corvara in Badia,Corvara,42253.59230347349,29190.0,547,2021
260,027,Curon Venosta/Graun im Vinschgau,3,Curon Venosta,Graun im Vinschgau,32435.601340909092,25531.0,880,2021
